actmovie.exe,b010fb33c42026ac3d8eb7220e8978de,GetStartupInfoA,GetModuleHandleA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ahui.exe,1b408d64de8bb419f650f834edc5f615,GetTextMetricsW,DeleteDC,CreateFontIndirectW,SelectObject,GetObjectW,CreateCompatibleDC,DeleteObject,GetUserDefaultUILanguage,GetLastError,HeapFree,GetStdHandle,LCMapStringW,SetHandleCount,GetSystemInfo,GetModuleFileNameW,VirtualProtect,FreeLibrary,QueryPerformanceCounter,HeapDestroy,ExitProcess,FlushFileBuffers,GetEnvironmentStringsW,GetVersionExA,GetModuleFileNameA,RtlUnwind,LoadLibraryA,FreeEnvironmentStringsA,HeapAlloc,GetCurrentProcess,GetEnvironmentStrings,GetLocaleInfoA,GetCurrentProcessId,GetSystemWindowsDirectoryW,GetCommandLineW,GetCPInfo,UnhandledExceptionFilter,MultiByteToWideChar,GetStartupInfoW,FreeEnvironmentStringsW,GetCommandLineA,GetProcAddress,GetProcessHeap,SetStdHandle,SetFilePointer,WideCharToMultiByte,LoadLibraryW,GetStringTypeA,GetModuleHandleA,GetSystemDirectoryW,InterlockedExchange,SetUnhandledExceptionFilter,WriteFile,GetStartupInfoA,CloseHandle,GetSystemTimeAsFileTime,TerminateProcess,HeapReAlloc,GetStringTypeW,IsWow64Process,LCMapStringA,SetCurrentDirectoryW,HeapCreate,VirtualQuery,VirtualFree,GetFileType,GetTickCount,GetCurrentThreadId,VirtualAlloc,ShellExecuteW,CommandLineToArgvW,GetUserObjectInformationW,EndDialog,PostQuitMessage,SetClassLongA,SetWindowPos,SendDlgItemMessageA,SetWindowLongW,EnableWindow,DialogBoxParamW,mouse_event,GetProcessWindowStation,SetDlgItemTextW,SendMessageW,SendDlgItemMessageW,AllowForegroundActivation,LoadStringW,SetWindowTextW,GetDlgItem,CloseWindowStation,LoadIconA,IsDlgButtonChecked,LoadIconW,GetWindowLongW,SetForegroundWindow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alg.exe,48f3a22e69b6ebe780d6d9b864edfe5f,RegCloseKey,SetServiceStatus,SystemFunction036,RegisterServiceCtrlHandlerW,RegEnumKeyExW,RegOpenKeyExW,StartServiceCtrlDispatcherW,RegNotifyChangeKeyValue,RegQueryValueExW,GetLastError,HeapFree,GetSystemTimeAsFileTime,EnterCriticalSection,WaitForSingleObject,SetEvent,QueryPerformanceCounter,GetTickCount,CreateTimerQueue,DeleteCriticalSection,GetCurrentProcess,UnregisterWait,GetCurrentProcessId,UnhandledExceptionFilter,GetStartupInfoW,DeleteTimerQueueTimer,WaitForMultipleObjects,GetProcessHeap,RegisterWaitForSingleObject,CreateThread,GetModuleHandleA,ReadFile,SetUnhandledExceptionFilter,WriteFile,CloseHandle,CreateTimerQueueTimer,DeleteTimerQueueEx,DuplicateHandle,BindIoCompletionCallback,TerminateProcess,CreateEventW,InitializeCriticalSection,InterlockedDecrement,Sleep,HeapAlloc,GetCurrentThreadId,InterlockedIncrement,LeaveCriticalSection,SysFreeString,SysAllocString,WSASocketW,WSAEnumNetworkEvents,WSAConnect,WSAEventSelect,CoInitializeEx,CoUninitialize,CoTaskMemAlloc,CLSIDFromString,CoCreateInstance,CoTaskMemFree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
append.exe,9d42bbca7ec220ad75f669f29686643e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arp.exe,c139eec15a0fc5249f44480307b510cb,GetLastError,LoadLibraryA,GetModuleHandleA,LocalFree,FormatMessageA,GetProcAddress,GetSystemDirectoryA,CharToOemBuffA,GetIcmpStatsFromStackEx,GetTcpStatsFromStackEx,GetIpStatsFromStackEx,GetUdpStatsFromStackEx,SnmpUtilOidCpy,SnmpUtilMemAlloc,SnmpUtilMemFree,SnmpUtilVarBindFree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_fmt.exe,dd973208e8129406cd16d950d24370f8,AdjustTokenPrivileges,LookupPrivilegeValueW,OpenProcessToken,ClusterResourceControl,GetLastError,HeapFree,GetDriveTypeW,LoadLibraryW,ResUtilEnumResources,SetupGetIntField,SetupFindFirstLineW,SetupOpenInfFileW,SetupFindNextLine,AsrAddSifEntryW,EnableWindow,PostMessageW,SendMessageW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_ldm.exe,cc909f048a1374e51f31e6af32736fe5,AdjustTokenPrivileges,LookupPrivilegeValueW,OpenProcessToken,DeviceIoControl,SetupDiEnumDeviceInterfaces,SetupDiGetDeviceInterfaceDetailW,SetupDiGetClassDevsW,SetupDiDestroyDeviceInfoList,AsrAddSifEntryW,LoadStringW,MessageBoxW,CoUninitialize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_pfu.exe,7a2ec33b6b402e2bceb6a60c97d527c5,AdjustTokenPrivileges,LookupPrivilegeValueW,RegOpenKeyExW,OpenProcessToken,RegSetValueExW,GetLastError,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at.exe,763f854cf0bf498a835e45ffb4735e6f,RegCloseKey,RegQueryValueExW,RegOpenKeyExW,GetSystemTime,NetScheduleJobEnum,NetScheduleJobAdd,NetApiBufferFree,NetScheduleJobGetInfo,CommandLineToArgvW,RtlTimeToSecondsSince1970,NtQuerySystemTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atmadm.exe,51f220e37d40cb86be7982c3d9efa07a,DeviceIoControl,GetCurrentProcess,TerminateProcess,QueryPerformanceCounter,WideCharToMultiByte,GetCurrentProcessId,GetModuleHandleA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attrib.exe,bb8bd36666c362d86835f81fc7a4294d,GetLastError,GetModuleHandleA,SetFileAttributesW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
